KOs,fighterspc,fighters,lfighters,gauss
6.000000,0.041667,6.000000,1.000000,0.023632
8.250000,0.027778,4.000000,0.000000,0.032524
10.500000,0.062500,9.000000,2.000000,0.042033
12.750000,0.055556,8.000000,4.000000,0.051009
15.000000,0.048611,7.000000,0.000000,0.058128
17.250000,0.027778,4.000000,2.000000,0.062200
19.500000,0.041667,6.000000,1.000000,0.062500
21.750000,0.034722,5.000000,0.000000,0.058972
24.000000,0.027778,4.000000,0.000000,0.052250
26.250000,0.020833,3.000000,1.000000,0.043471
28.500000,0.006944,1.000000,0.000000,0.033962
30.750000,0.020833,3.000000,0.000000,0.024915
33.000000,0.006944,1.000000,0.000000,0.017164
35.250000,0.000000,0.000000,0.000000,0.011103
37.500000,0.000000,0.000000,0.000000,0.006744
39.750000,0.013889,2.000000,0.000000,0.003847
42.000000,0.000000,0.000000,0.000000,0.002060
44.250000,0.000000,0.000000,0.000000,0.001036
46.500000,0.000000,0.000000,0.000000,0.000489
48.750000,0.006944,1.000000,0.000000,0.000217
