age,fighterspc,fighters,lfighters,gauss
23.000000,0.050000,4.000000,0.000000,0.040577
24.250000,0.050000,4.000000,1.000000,0.057338
25.500000,0.075000,6.000000,1.000000,0.076053
26.750000,0.075000,6.000000,0.000000,0.094689
28.000000,0.125000,10.000000,4.000000,0.110661
29.250000,0.112500,9.000000,1.000000,0.121394
30.500000,0.062500,5.000000,0.000000,0.125000
31.750000,0.037500,3.000000,1.000000,0.120819
33.000000,0.062500,5.000000,0.000000,0.109615
34.250000,0.025000,2.000000,1.000000,0.093350
35.500000,0.025000,2.000000,0.000000,0.074623
36.750000,0.012500,1.000000,0.000000,0.055994
38.000000,0.037500,3.000000,2.000000,0.039438
39.250000,0.012500,1.000000,0.000000,0.026074
40.500000,0.012500,1.000000,0.000000,0.016181
41.750000,0.012500,1.000000,0.000000,0.009426
43.000000,0.000000,0.000000,0.000000,0.005154
44.250000,0.000000,0.000000,0.000000,0.002645
45.500000,0.000000,0.000000,0.000000,0.001274
46.750000,0.012500,1.000000,0.000000,0.000576
