age,bouts,wins,stance,KOs,
37.0,63.0,60.0,0.0,51.0,
42.0,47.0,45.0,0.0,41.0,
28.0,27.0,26.0,1.0,13.0,
31.0,51.0,48.0,0.0,34.0,
41.0,44.0,39.0,0.0,31.0,
28.0,-99.0,34.0,0.0,25.0,
40.0,38.0,33.0,0.0,28.0,
35.0,22.0,21.0,1.0,18.0,
48.0,63.0,53.0,0.0,32.0,
29.0,14.0,13.0,0.0,8.0,
26.0,26.0,26.0,0.0,12.0,
25.0,26.0,23.0,0.0,13.0,
29.0,26.0,26.0,0.0,14.0,
34.0,39.0,32.0,0.0,21.0,
36.0,33.0,31.0,0.0,22.0,
32.0,48.0,45.0,0.0,26.0,
25.0,23.0,21.0,1.0,13.0,
38.0,55.0,51.0,1.0,28.0,
32.0,30.0,29.0,0.0,15.0,
31.0,27.0,27.0,0.0,24.0,
30.0,29.0,29.0,0.0,21.0,
23.0,43.0,42.0,0.0,31.0,
35.0,30.0,25.0,0.0,11.0,
28.0,27.0,26.0,0.0,20.0,
36.0,44.0,44.0,0.0,26.0,
26.0,26.0,25.0,1.0,14.0,
24.0,27.0,27.0,0.0,22.0,
29.0,31.0,30.0,0.0,12.0,
25.0,26.0,26.0,0.0,16.0,
29.0,35.0,31.0,0.0,16.0,
39.0,62.0,55.0,0.0,40.0,
26.0,36.0,33.0,0.0,13.0,
31.0,22.0,18.0,0.0,8.0,
30.0,38.0,36.0,0.0,11.0,
26.0,33.0,30.0,0.0,23.0,
29.0,29.0,25.0,1.0,19.0,
27.0,23.0,21.0,0.0,11.0,
33.0,21.0,20.0,0.0,17.0,
30.0,29.0,26.0,0.0,15.0,
27.0,19.0,19.0,0.0,12.0,
25.0,32.0,32.0,0.0,27.0,
27.0,27.0,26.0,0.0,14.0,
27.0,17.0,17.0,0.0,8.0,
33.0,51.0,48.0,0.0,22.0,
32.0,12.0,12.0,1.0,8.0,
30.0,40.0,37.0,0.0,21.0,
30.0,20.0,18.0,1.0,13.0,
27.0,18.0,16.0,0.0,6.0,
28.0,36.0,33.0,1.0,11.0,
33.0,20.0,20.0,0.0,10.0,
33.0,32.0,29.0,0.0,22.0,
26.0,24.0,20.0,0.0,19.0,
31.0,19.0,15.0,0.0,7.0,
38.0,42.0,39.0,1.0,20.0,
30.0,20.0,17.0,0.0,9.0,
30.0,31.0,29.0,0.0,20.0,
23.0,27.0,25.0,0.0,18.0,
27.0,30.0,27.0,0.0,16.0,
23.0,19.0,17.0,0.0,10.0,
26.0,35.0,35.0,0.0,29.0,
31.0,36.0,31.0,0.0,17.0,
30.0,26.0,21.0,0.0,11.0,
30.0,32.0,25.0,0.0,10.0,
29.0,23.0,23.0,1.0,12.0,
