lon,lat,size
-118.41461331,34.8757816165,8400
-95.9409289387,31.6241927213,2300
-82.3900849058,34.9255008526,5000
-93.285522228,39.227836074,500
1.709888535,51.3204323525,1200
-122.199988368,46.8010952156,900
-87.74404465,12.5218096233,300
-104.18583333,78.58527778,100
-80.6452622789,26.55605065,1900
-88.5829843722,44.82254479,900
-83.94286616,20.9635763133,300
8.7,44.99165,200
54.027966475,24.5889824425,400
37.4748333333,-0.332933333333,300
-108.577932507,40.4169112662,800
-157.826,21.309,100
3.39583,6.45306,100
139.75527623,35.66538803,100
10.75800699,59.91858008,100
170.3666,-43.5877,200
121.04115978,14.594844106,500
133.3931,-24.9162,200
75.8167,26.9167,100
108.792023167,-6.60666906667,300
-75.7344751925,41.1301865983,12600
19.91430993,40.80378013,100
-66.631737602,18.366765438,500
-4.13780061,55.7045317875,400
-98.653433885,25.957035795,200
114.4017,3.9451,200
